Question,Answer
"Ernakulam, NO2, 27-May, 20",The NO2 level in Ernakulam on 27-May-20 was 19.16.
"Which city had the highest CO level on 24-Jul, 19?",The highest CO level on 24-Jul-19 was in Jorapokhar at 1.58.
"Where was the NO level highest on 28-Jan, 16?",The highest NO level on 28-Jan-16 was in Mumbai at 7.5.
"Thiruvananthapuram, CO, 04-Apr, 15",No data available for this date and city.
"Where was the NO level highest on 13-Nov, 18?",The highest NO level on 13-Nov-18 was in Thiruvananthapuram at 4.23.
"Where was the NOx level highest on 12-Feb, 19?",The highest NOx level on 12-Feb-19 was in Jaipur at 38.43.
"Where was the CO level highest on 20-Apr, 16?",The highest CO level on 20-Apr-16 was in Bengaluru at 1.65.
"Where was the SO2 level highest on 29-Sep, 15?",The highest SO2 level on 29-Sep-15 was in Hyderabad at 2.81.
"Where was the PM2.5 level highest on 29-Aug, 16?",The highest PM2.5 level on 29-Aug-16 was in Lucknow at 59.7.
"Where was the PM2.5 level highest on 02-Jan, 17?",The highest PM2.5 level on 02-Jan-17 was in Hyderabad at 47.21.
"Where was the NOx level highest on 26-Oct, 16?",The highest NOx level on 26-Oct-16 was in Bengaluru at 18.86.
"Where was the SO2 level highest on 23-Feb, 17?",The highest SO2 level on 23-Feb-17 was in Bengaluru at 9.22.
"Compare NOx levels between Guwahati and Patna on 31-Jul, 17.",No data available for this date and city.
"Which city had the highest NO level on 16-Aug, 19?",The highest NO level on 16-Aug-19 was in Mumbai at 21.54.
"Patna, NH3, 14-Oct, 18",No data available for this date and city.
"Compare SO2 levels between Kochi and Kolkata on 25-Jul, 19.",No data available for this date and city.
"Compare NO2 levels between Aizawl and Amritsar on 04-Apr, 18.",No data available for this date and city.
"Where was the PM10 level highest on 02-Nov, 18?",The highest PM10 level on 02-Nov-18 was in Brajrajnagar at 113.42.
"Where was the NH3 level highest on 29-May, 20?",The highest NH3 level on 29-May-20 was in Chennai at 40.71.
"Jaipur, PM2.5, 08-Jun, 17",No data available for this date and city.
"Which city had the highest NH3 level on 23-Sep, 18?",The highest NH3 level on 23-Sep-18 was in Lucknow at 32.16.
"Compare PM10 levels between Jorapokhar and Lucknow on 22-Oct, 15.",No data available for this date and city.
"Where was the NOx level highest on 03-Mar, 20?",The highest NOx level on 03-Mar-20 was in Kolkata at 49.24.
"Compare NH3 levels between Coimbatore and Bengaluru on 14-Feb, 17.",No data available for this date and city.
"Guwahati, PM10, 16-Feb, 17",No data available for this date and city.
"Where was the NOx level highest on 01-Aug, 17?",The highest NOx level on 01-Aug-17 was in Gurugram at 17.79.
"Shillong, CO, 07-Nov, 15",No data available for this date and city.
"Where was the NH3 level highest on 23-Jan, 17?",The highest NH3 level on 23-Jan-17 was in Hyderabad at 20.72.
"Where was the SO2 level highest on 25-Apr, 17?",The highest SO2 level on 25-Apr-17 was in Jorapokhar at 13.11.
"Where was the PM2.5 level highest on 09-Jul, 19?",The highest PM2.5 level on 09-Jul-19 was in Jaipur at 48.45.
"Compare NO levels between Chennai and Shillong on 19-Oct, 17.",No data available for this date and city.
"Hyderabad, CO, 26-Sep, 16",The CO level in Hyderabad on 26-Sep-16 was 0.24.
"Which city had the highest CO level on 13-Jan, 19?",The highest CO level on 13-Jan-19 was in Bengaluru at 0.93.
"Jaipur, NOx, 27-Apr, 16",No data available for this date and city.
"Where was the PM2.5 level highest on 26-Dec, 17?",The highest PM2.5 level on 26-Dec-17 was in Amaravati at 107.7.
"Where was the NOx level highest on 27-Apr, 18?",The highest NOx level on 27-Apr-18 was in Kolkata at 48.46.
"Where was the PM10 level highest on 06-Dec, 16?",The highest PM10 level on 06-Dec-16 was in Bengaluru at 155.51.
"Amaravati, NO2, 26-Sep, 16",No data available for this date and city.
"Compare SO2 levels between Bengaluru and Jorapokhar on 11-May, 16.",The SO2 level in Bengaluru on 11-May-16 was 3.11.
"Which city had the highest CO level on 24-May, 16?",The highest CO level on 24-May-16 was in Patna at 1.42.
"Which city had the highest PM2.5 level on 22-Aug, 17?",The highest PM2.5 level on 22-Aug-17 was in Gurugram at 66.42.
"Where was the CO level highest on 28-May, 16?",The highest CO level on 28-May-16 was in Mumbai at 0.71.
"Where was the NH3 level highest on 02-Nov, 16?",The highest NH3 level on 02-Nov-16 was in Bengaluru at 36.28.
"Where was the CO level highest on 16-Sep, 18?",The highest CO level on 16-Sep-18 was in Visakhapatnam at 0.95.
"Compare PM10 levels between Chennai and Thiruvananthapuram on 07-Jan, 16.",No data available for this date and city.
"Compare NO levels between Bhopal and Visakhapatnam on 08-Jun, 17.",No data available for this date and city.
"Which city had the highest PM2.5 level on 03-Aug, 16?",The highest PM2.5 level on 03-Aug-16 was in Gurugram at 30.94.
"Compare PM2.5 levels between Patna and Chennai on 15-Aug, 18.",No data available for this date and city.
"Compare SO2 levels between Jorapokhar and Thiruvananthapuram on 11-May, 19.",No data available for this date and city.
"Which city had the highest PM2.5 level on 14-Aug, 18?",The highest PM2.5 level on 14-Aug-18 was in Mumbai at 80.13.
"Compare PM10 levels between Amritsar and Kochi on 12-Sep, 16.",No data available for this date and city.
"Bhopal, NH3, 02-Oct, 16",No data available for this date and city.
"Compare SO2 levels between Mumbai and Chennai on 18-May, 17.",No data available for this date and city.
"Visakhapatnam, NO, 12-Mar, 16",No data available for this date and city.
"Visakhapatnam, PM2.5, 24-Apr, 16",No data available for this date and city.
"Where was the PM10 level highest on 07-Mar, 20?",The highest PM10 level on 07-Mar-20 was in Bhopal at 136.03.
"Which city had the highest NO level on 15-Jan, 15?",The highest NO level on 15-Jan-15 was in Hyderabad at 16.05.
"Which city had the highest PM2.5 level on 18-Mar, 18?",The highest PM2.5 level on 18-Mar-18 was in Visakhapatnam at 93.98.
"Bhopal, PM10, 15-Jun, 17",No data available for this date and city.
"Hyderabad, SO2, 07-Jan, 16",The SO2 level in Hyderabad on 07-Jan-16 was 7.82.
"Compare NH3 levels between Guwahati and Mumbai on 17-Jan, 15.",No data available for this date and city.
"Hyderabad, NOx, 08-Oct, 18",The NOx level in Hyderabad on 08-Oct-18 was 25.58.
"Compare PM10 levels between Visakhapatnam and Talcher on 06-Aug, 19.",No data available for this date and city.
"Compare NH3 levels between Amaravati and Lucknow on 04-May, 20.","On 04-May-20, NH3 level was 8.16 in Amaravati and 30.26 in Lucknow."
"Compare PM2.5 levels between Delhi and Amaravati on 18-Jun, 17.",No data available for this date and city.
"Where was the SO2 level highest on 29-Oct, 16?",The highest SO2 level on 29-Oct-16 was in Visakhapatnam at 7.73.
"Compare SO2 levels between Coimbatore and Jorapokhar on 28-Nov, 15.",No data available for this date and city.
"Where was the NO2 level highest on 30-Jan, 20?",The highest NO2 level on 30-Jan-20 was in Bengaluru at 47.61.
"Where was the PM2.5 level highest on 27-Mar, 16?",The highest PM2.5 level on 27-Mar-16 was in Gurugram at 79.43.
"Which city had the highest SO2 level on 27-Aug, 15?",The highest SO2 level on 27-Aug-15 was in Chennai at 12.83.
"Which city had the highest PM10 level on 27-Feb, 15?",The highest PM10 level on 27-Feb-15 was in Mumbai at 58.88.
"Which city had the highest NOx level on 16-Apr, 16?",The highest NOx level on 16-Apr-16 was in Mumbai at 26.31.
"Guwahati, SO2, 17-Jun, 15",No data available for this date and city.
"Which city had the highest PM2.5 level on 16-Aug, 18?",The highest PM2.5 level on 16-Aug-18 was in Gurugram at 49.45.
"Where was the NOx level highest on 21-May, 18?",The highest NOx level on 21-May-18 was in Kolkata at 33.63.
"Compare NO levels between Amritsar and Brajrajnagar on 11-Jan, 19.",No data available for this date and city.
"Gurugram, SO2, 30-Jun, 17",The SO2 level in Gurugram on 30-Jun-17 was 3.93.
"Which city had the highest CO level on 01-Jul, 16?",The highest CO level on 01-Jul-16 was in Lucknow at 1.12.
"Compare NO2 levels between Talcher and Chennai on 29-Sep, 19.",No data available for this date and city.
"Where was the PM2.5 level highest on 30-May, 17?",The highest PM2.5 level on 30-May-17 was in Chennai at 43.31.
"Aizawl, PM10, 03-Aug, 19",No data available for this date and city.
"Where was the NH3 level highest on 27-Jun, 17?",The highest NH3 level on 27-Jun-17 was in Bengaluru at 31.97.
"Where was the NOx level highest on 17-Aug, 16?",The highest NOx level on 17-Aug-16 was in Lucknow at 17.79.
"Amritsar, NH3, 02-Dec, 16",No data available for this date and city.
"Compare SO2 levels between Chandigarh and Bhopal on 26-Feb, 20.",No data available for this date and city.
"Visakhapatnam, PM10, 22-Dec, 19",The PM10 level in Visakhapatnam on 22-Dec-19 was 58.88.
"Which city had the highest NO2 level on 02-Apr, 18?",The highest NO2 level on 02-Apr-18 was in Hyderabad at 38.98.
"Which city had the highest SO2 level on 26-Feb, 20?",The highest SO2 level on 26-Feb-20 was in Amaravati at 19.56.
"Compare CO levels between Bengaluru and Jaipur on 23-May, 15.",No data available for this date and city.
"Which city had the highest NO level on 03-Aug, 18?",The highest NO level on 03-Aug-18 was in Bengaluru at 17.03.
"Compare PM2.5 levels between Amaravati and Guwahati on 15-Apr, 19.","On 15-Apr-19, PM2.5 level was 23.75 in Amaravati and 47.34 in Guwahati."
"Compare NH3 levels between Thiruvananthapuram and Visakhapatnam on 07-Feb, 17.",No data available for this date and city.
"Patna, NO, 24-Dec, 19",No data available for this date and city.
"Compare NO2 levels between Coimbatore and Visakhapatnam on 25-Mar, 18.",No data available for this date and city.
"Compare NOx levels between Bhopal and Mumbai on 25-Dec, 16.",No data available for this date and city.
"Which city had the highest SO2 level on 05-Jun, 15?",The highest SO2 level on 05-Jun-15 was in Hyderabad at 8.09.
"Compare NH3 levels between Bengaluru and Jaipur on 07-Sep, 17.","On 07-Sep-17, NH3 level was 24.37 in Bengaluru and 18.13 in Jaipur."
"Compare PM2.5 levels between Hyderabad and Lucknow on 26-Jul, 16.",The PM2.5 level in Hyderabad on 26-Jul-16 was 15.94.
"Bhopal, NO2, 18-Jun, 19",No data available for this date and city.
"Which city had the highest CO level on 12-Jan, 19?",The highest CO level on 12-Jan-19 was in Jaipur at 1.16.
"Where was the PM10 level highest on 05-Apr, 17?",The highest PM10 level on 05-Apr-17 was in Hyderabad at 98.46.
"Compare CO levels between Thiruvananthapuram and Amaravati on 17-Nov, 16.",No data available for this date and city.
"Compare NO levels between Patna and Amritsar on 04-Jan, 19.",No data available for this date and city.
"Where was the CO level highest on 06-Jul, 18?",The highest CO level on 06-Jul-18 was in Mumbai at 1.17.
"Compare NOx levels between Amritsar and Aizawl on 17-Oct, 17.",No data available for this date and city.
"Gurugram, NO, 05-Jun, 15",No data available for this date and city.
"Where was the NOx level highest on 23-Jun, 20?",The highest NOx level on 23-Jun-20 was in Mumbai at 32.78.
"Ernakulam, NOx, 09-Jan, 19",No data available for this date and city.
"Compare NH3 levels between Amaravati and Guwahati on 16-Dec, 17.",The NH3 level in Amaravati on 16-Dec-17 was 15.56.
"Which city had the highest NH3 level on 16-Dec, 19?",The highest NH3 level on 16-Dec-19 was in Delhi at 39.25.
"Gurugram, PM2.5, 27-Dec, 15",The PM2.5 level in Gurugram on 27-Dec-15 was 36.43.
"Which city had the highest NOx level on 14-Apr, 17?",The highest NOx level on 14-Apr-17 was in Lucknow at 17.79.
"Bengaluru, NO2, 25-Apr, 20",The NO2 level in Bengaluru on 25-Apr-20 was 13.04.
"Which city had the highest NOx level on 05-Mar, 18?",The highest NOx level on 05-Mar-18 was in Jaipur at 40.93.
"Where was the NH3 level highest on 02-Sep, 15?",The highest NH3 level on 02-Sep-15 was in Bengaluru at 26.12.
"Compare NO2 levels between Talcher and Shillong on 28-Apr, 19.",No data available for this date and city.
"Compare NH3 levels between Ernakulam and Gurugram on 15-Mar, 16.",No data available for this date and city.
"Which city had the highest SO2 level on 17-Dec, 18?",The highest SO2 level on 17-Dec-18 was in Jaipur at 13.18.
"Talcher, NO, 06-Dec, 18",No data available for this date and city.
"Where was the SO2 level highest on 10-Dec, 16?",The highest SO2 level on 10-Dec-16 was in Chennai at 9.78.
"Where was the CO level highest on 14-Feb, 15?",The highest CO level on 14-Feb-15 was in Bengaluru at 0.9.
"Where was the NO level highest on 27-Oct, 19?",The highest NO level on 27-Oct-19 was in Guwahati at 21.02.
"Which city had the highest PM2.5 level on 20-Aug, 15?",The highest PM2.5 level on 20-Aug-15 was in Hyderabad at 107.98.
"Compare CO levels between Mumbai and Thiruvananthapuram on 04-Jun, 18.",No data available for this date and city.
"Which city had the highest CO level on 02-Nov, 16?",The highest CO level on 02-Nov-16 was in Visakhapatnam at 0.77.
"Compare NH3 levels between Brajrajnagar and Amritsar on 06-Mar, 16.",No data available for this date and city.
"Guwahati, NO, 28-Apr, 18",No data available for this date and city.
"Which city had the highest NH3 level on 25-Mar, 18?",The highest NH3 level on 25-Mar-18 was in Delhi at 37.35.
"Bengaluru, PM2.5, 06-Sep, 16",The PM2.5 level in Bengaluru on 06-Sep-16 was 37.14.
"Compare NH3 levels between Lucknow and Jaipur on 21-Apr, 20.",No data available for this date and city.
"Which city had the highest SO2 level on 06-Oct, 19?",The highest SO2 level on 06-Oct-19 was in Guwahati at 18.9.
"Compare SO2 levels between Patna and Visakhapatnam on 25-May, 15.",No data available for this date and city.
"Which city had the highest NO2 level on 26-Feb, 15?",The highest NO2 level on 26-Feb-15 was in Bengaluru at 31.32.
"Where was the NO2 level highest on 19-Feb, 17?",The highest NO2 level on 19-Feb-17 was in Visakhapatnam at 41.19.
"Where was the NH3 level highest on 09-Jan, 20?",The highest NH3 level on 09-Jan-20 was in Lucknow at 40.71.
"Which city had the highest NOx level on 22-Dec, 17?",The highest NOx level on 22-Dec-17 was in Amritsar at 31.26.
"Talcher, CO, 29-Jul, 19",No data available for this date and city.
"Where was the NO2 level highest on 29-Apr, 17?",The highest NO2 level on 29-Apr-17 was in Bengaluru at 39.84.
"Which city had the highest NO2 level on 24-Jul, 19?",The highest NO2 level on 24-Jul-19 was in Visakhapatnam at 35.69.
"Where was the CO level highest on 23-Mar, 16?",The highest CO level on 23-Mar-16 was in Hyderabad at 1.68.
"Ernakulam, NO2, 21-Jul, 18",No data available for this date and city.
"Compare SO2 levels between Jaipur and Coimbatore on 10-Jan, 18.",No data available for this date and city.
"Compare NO2 levels between Hyderabad and Kochi on 20-Dec, 15.",The NO2 level in Hyderabad on 20-Dec-15 was 8.87.
"Compare NH3 levels between Shillong and Amritsar on 04-Aug, 17.",No data available for this date and city.
"Where was the CO level highest on 13-Jun, 18?",The highest CO level on 13-Jun-18 was in Bengaluru at 0.95.
"Where was the PM10 level highest on 10-Feb, 19?",The highest PM10 level on 10-Feb-19 was in Amritsar at 152.76.
"Compare NOx levels between Jorapokhar and Chennai on 26-May, 15.",No data available for this date and city.
"Compare NO2 levels between Coimbatore and Guwahati on 28-Mar, 17.",No data available for this date and city.
"Ernakulam, PM10, 08-Apr, 20",The PM10 level in Ernakulam on 08-Apr-20 was 38.37.
"Which city had the highest NOx level on 01-Oct, 19?",The highest NOx level on 01-Oct-19 was in Kolkata at 33.94.
"Where was the CO level highest on 11-Aug, 19?",The highest CO level on 11-Aug-19 was in Lucknow at 1.78.
"Which city had the highest CO level on 23-Nov, 19?",The highest CO level on 23-Nov-19 was in Thiruvananthapuram at 1.5.
"Compare CO levels between Kolkata and Chennai on 04-Feb, 19.",No data available for this date and city.
"Which city had the highest PM2.5 level on 31-Oct, 15?",The highest PM2.5 level on 31-Oct-15 was in Ahmedabad at 46.5.
"Guwahati, SO2, 19-Jun, 18",No data available for this date and city.
"Where was the CO level highest on 03-Sep, 19?",The highest CO level on 03-Sep-19 was in Jorapokhar at 1.99.
"Hyderabad, NO, 30-Jun, 18",The NO level in Hyderabad on 30-Jun-18 was 6.27.
"Brajrajnagar, PM2.5, 01-May, 16",No data available for this date and city.
"Talcher, NO2, 24-May, 17",No data available for this date and city.
"Bhopal, NO2, 10-Oct, 18",No data available for this date and city.
"Which city had the highest CO level on 02-Oct, 15?",The highest CO level on 02-Oct-15 was in Bengaluru at 1.82.
"Which city had the highest NOx level on 02-Feb, 16?",The highest NOx level on 02-Feb-16 was in Bengaluru at 41.2.
"Which city had the highest SO2 level on 30-Jul, 18?",The highest SO2 level on 30-Jul-18 was in Visakhapatnam at 12.92.
"Compare SO2 levels between Gurugram and Thiruvananthapuram on 02-Feb, 20.","On 02-Feb-20, SO2 level was 8.29 in Gurugram and 7.72 in Thiruvananthapuram."
"Compare PM2.5 levels between Jaipur and Chandigarh on 13-Jun, 20.","On 13-Jun-20, PM2.5 level was 43.7 in Jaipur and 25.68 in Chandigarh."
"Compare NOx levels between Amritsar and Gurugram on 05-Jul, 18.","On 05-Jul-18, NOx level was 11.84 in Amritsar and 22.4 in Gurugram."
"Where was the SO2 level highest on 01-May, 18?",The highest SO2 level on 01-May-18 was in Lucknow at 10.28.
"Which city had the highest NO level on 22-Jul, 18?",The highest NO level on 22-Jul-18 was in Delhi at 12.14.
"Where was the PM10 level highest on 19-Apr, 19?",The highest PM10 level on 19-Apr-19 was in Gurugram at 186.18.
"Compare NOx levels between Talcher and Mumbai on 24-Jan, 18.",No data available for this date and city.
"Where was the PM10 level highest on 08-Jan, 20?",The highest PM10 level on 08-Jan-20 was in Bhopal at 158.19.
"Where was the NO level highest on 23-Oct, 19?",The highest NO level on 23-Oct-19 was in Chandigarh at 18.05.
"Which city had the highest SO2 level on 13-Apr, 15?",The highest SO2 level on 13-Apr-15 was in Hyderabad at 13.04.
"Which city had the highest CO level on 17-Mar, 15?",The highest CO level on 17-Mar-15 was in Hyderabad at 0.37.
"Talcher, NO2, 03-Jun, 18",No data available for this date and city.
"Where was the NH3 level highest on 08-Apr, 16?",The highest NH3 level on 08-Apr-16 was in Hyderabad at 20.01.
"Patna, NOx, 03-Nov, 19",No data available for this date and city.
"Which city had the highest NO level on 14-Jan, 20?",The highest NO level on 14-Jan-20 was in Mumbai at 21.17.
"Which city had the highest NO level on 12-Jan, 16?",The highest NO level on 12-Jan-16 was in Gurugram at 15.19.
"Compare NO levels between Bhopal and Delhi on 20-Jun, 18.",No data available for this date and city.
"Shillong, NO, 25-Sep, 18",No data available for this date and city.
"Compare NO2 levels between Aizawl and Visakhapatnam on 22-Mar, 16.",No data available for this date and city.
"Which city had the highest NOx level on 29-Dec, 16?",The highest NOx level on 29-Dec-16 was in Bengaluru at 17.79.
"Which city had the highest NO level on 22-Oct, 16?",The highest NO level on 22-Oct-16 was in Bengaluru at 15.42.
"Amaravati, PM2.5, 14-Oct, 18",The PM2.5 level in Amaravati on 14-Oct-18 was 39.22.
"Where was the NO level highest on 24-Feb, 20?",The highest NO level on 24-Feb-20 was in Amritsar at 19.87.
"Compare SO2 levels between Lucknow and Bengaluru on 23-Apr, 20.","On 23-Apr-20, SO2 level was 8.37 in Lucknow and 6.36 in Bengaluru."
"Where was the NO level highest on 12-Mar, 15?",The highest NO level on 12-Mar-15 was in Chennai at 11.46.
"Where was the NO2 level highest on 10-Mar, 18?",The highest NO2 level on 10-Mar-18 was in Hyderabad at 49.74.
"Which city had the highest SO2 level on 23-Feb, 15?",The highest SO2 level on 23-Feb-15 was in Mumbai at 7.36.
"Compare CO levels between Ernakulam and Jaipur on 20-Mar, 19.",No data available for this date and city.
"Where was the SO2 level highest on 03-Nov, 16?",The highest SO2 level on 03-Nov-16 was in Visakhapatnam at 9.45.
"Which city had the highest SO2 level on 31-Jan, 19?",The highest SO2 level on 31-Jan-19 was in Jaipur at 12.95.
"Where was the PM2.5 level highest on 17-Nov, 16?",The highest PM2.5 level on 17-Nov-16 was in Visakhapatnam at 76.4.
"Kolkata, NO2, 10-May, 17",No data available for this date and city.
"Where was the NO level highest on 09-Dec, 15?",The highest NO level on 09-Dec-15 was in Gurugram at 11.96.
"Where was the CO level highest on 14-Apr, 20?",The highest CO level on 14-Apr-20 was in Ernakulam at 1.44.
"Compare PM10 levels between Hyderabad and Aizawl on 09-Oct, 15.",No data available for this date and city.
"Where was the SO2 level highest on 25-Jun, 20?",The highest SO2 level on 25-Jun-20 was in Talcher at 17.23.
"Where was the NOx level highest on 28-Mar, 19?",The highest NOx level on 28-Mar-19 was in Bengaluru at 45.48.
"Which city had the highest PM2.5 level on 27-Feb, 16?",The highest PM2.5 level on 27-Feb-16 was in Chennai at 51.79.
"Bengaluru, NO2, 04-Nov, 19",The NO2 level in Bengaluru on 04-Nov-19 was 36.74.
"Compare CO levels between Jaipur and Hyderabad on 18-Jun, 20.","On 18-Jun-20, CO level was 0.68 in Jaipur and 0.26 in Hyderabad."
"Jaipur, PM10, 16-Mar, 20",The PM10 level in Jaipur on 16-Mar-20 was 92.2.
"Kochi, PM10, 16-May, 20",No data available for this date and city.
"Shillong, CO, 24-Sep, 16",No data available for this date and city.
"Compare PM10 levels between Jorapokhar and Bengaluru on 15-Jan, 17.",No data available for this date and city.
"Jorapokhar, NO2, 08-Nov, 16",No data available for this date and city.
"Shillong, NO2, 01-Aug, 19",No data available for this date and city.
"Which city had the highest NH3 level on 23-Nov, 15?",The highest NH3 level on 23-Nov-15 was in Bengaluru at 24.04.
"Which city had the highest PM10 level on 21-Nov, 17?",The highest PM10 level on 21-Nov-17 was in Jaipur at 121.42.
"Which city had the highest PM2.5 level on 21-Dec, 16?",The highest PM2.5 level on 21-Dec-16 was in Bengaluru at 19.68.
"Where was the NOx level highest on 29-May, 17?",The highest NOx level on 29-May-17 was in Gurugram at 17.79.
"Bengaluru, PM10, 20-Feb, 16",The PM10 level in Bengaluru on 20-Feb-16 was 116.89.
"Where was the NO level highest on 21-Sep, 16?",The highest NO level on 21-Sep-16 was in Patna at 23.06.
"Kochi, CO, 06-Sep, 15",No data available for this date and city.
"Ernakulam, NO, 15-May, 20",No data available for this date and city.
"Compare SO2 levels between Visakhapatnam and Jorapokhar on 30-Nov, 18.",The SO2 level in Visakhapatnam on 30-Nov-18 was 6.61.
"Amaravati, NH3, 08-Apr, 18",The NH3 level in Amaravati on 08-Apr-18 was 9.77.
"Compare PM2.5 levels between Ernakulam and Aizawl on 13-Dec, 19.",No data available for this date and city.
"Where was the NO2 level highest on 16-Apr, 17?",The highest NO2 level on 16-Apr-17 was in Bengaluru at 32.75.
"Compare SO2 levels between Coimbatore and Brajrajnagar on 02-Nov, 17.",No data available for this date and city.
"Where was the NO level highest on 01-Sep, 16?",The highest NO level on 01-Sep-16 was in Patna at 16.39.
"Where was the PM2.5 level highest on 22-Oct, 19?",The highest PM2.5 level on 22-Oct-19 was in Gurugram at 92.44.
"Which city had the highest PM2.5 level on 20-Feb, 16?",The highest PM2.5 level on 20-Feb-16 was in Chennai at 83.44.
"Which city had the highest SO2 level on 10-Mar, 16?",The highest SO2 level on 10-Mar-16 was in Mumbai at 7.36.
"Where was the NH3 level highest on 02-Mar, 18?",The highest NH3 level on 02-Mar-18 was in Jaipur at 25.44.
"Bhopal, NO, 25-May, 16",No data available for this date and city.
"Compare PM10 levels between Bhopal and Shillong on 05-Mar, 15.",No data available for this date and city.
"Compare SO2 levels between Delhi and Mumbai on 08-Aug, 19.",The SO2 level in Delhi on 08-Aug-19 was 10.61.
"Which city had the highest SO2 level on 24-Jun, 19?",The highest SO2 level on 24-Jun-19 was in Amaravati at 16.53.
"Where was the NO2 level highest on 02-Nov, 16?",The highest NO2 level on 02-Nov-16 was in Bengaluru at 39.54.
"Chennai, NOx, 16-Aug, 16",The NOx level in Chennai on 16-Aug-16 was 15.88.
"Which city had the highest NO level on 23-Aug, 19?",The highest NO level on 23-Aug-19 was in Mumbai at 23.11.
"Which city had the highest SO2 level on 01-Jun, 17?",The highest SO2 level on 01-Jun-17 was in Chennai at 6.28.
"Delhi, NH3, 02-Oct, 16",No data available for this date and city.
"Compare NO levels between Patna and Talcher on 11-Jun, 16.",The NO level in Patna on 11-Jun-16 was 6.08.
"Kochi, PM2.5, 21-May, 18",No data available for this date and city.
"Which city had the highest NO level on 18-Nov, 15?",The highest NO level on 18-Nov-15 was in Hyderabad at 8.21.
"Where was the SO2 level highest on 10-Jun, 19?",The highest SO2 level on 10-Jun-19 was in Amaravati at 18.35.
"Compare NOx levels between Bengaluru and Hyderabad on 30-Aug, 17.","On 30-Aug-17, NOx level was 17.79 in Bengaluru and 5.8 in Hyderabad."
"Compare NO2 levels between Brajrajnagar and Bhopal on 01-Jul, 19.",The NO2 level in Brajrajnagar on 01-Jul-19 was 12.97.
"Bengaluru, NH3, 11-Apr, 17",The NH3 level in Bengaluru on 11-Apr-17 was 28.14.
"Compare CO levels between Thiruvananthapuram and Kochi on 27-Mar, 20.",The CO level in Thiruvananthapuram on 27-Mar-20 was 0.96.
