City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2
Mumbai,30-Jan-15,36.43,58.88,7.5,19.16,25.64,11.86,0.71,7.36
Mumbai,31-Jan-15,36.43,58.88,7.5,19.16,27.34,11.86,0.71,7.36
Mumbai,01-Feb-15,36.43,58.88,7.5,19.16,27.25,11.86,0.71,7.36
Mumbai,02-Feb-15,36.43,58.88,7.5,19.16,26,11.86,0.71,7.36
Mumbai,03-Feb-15,36.43,58.88,7.5,19.16,28.16,11.86,0.71,7.36
Mumbai,04-Feb-15,36.43,58.88,7.5,19.16,29.13,11.86,0.71,7.36
Mumbai,05-Feb-15,36.43,58.88,7.5,19.16,28.98,11.86,0.71,7.36
Mumbai,06-Feb-15,36.43,58.88,7.5,19.16,28.69,11.86,0.71,7.36
Mumbai,07-Feb-15,36.43,58.88,7.5,19.16,27.46,11.86,0.71,7.36
Mumbai,08-Feb-15,36.43,58.88,7.5,19.16,26.77,11.86,0.71,7.36
Mumbai,09-Feb-15,36.43,58.88,7.5,19.16,28.25,11.86,0.71,7.36
Mumbai,10-Feb-15,36.43,58.88,7.5,19.16,28.48,11.86,0.71,7.36
Mumbai,11-Feb-15,36.43,58.88,7.5,19.16,27.56,11.86,0.71,7.36
Mumbai,12-Feb-15,36.43,58.88,7.5,19.16,27.86,11.86,0.71,7.36
Mumbai,13-Feb-15,36.43,58.88,7.5,19.16,28,11.86,0.71,7.36
Mumbai,14-Feb-15,36.43,58.88,7.5,19.16,28.2,11.86,0.71,7.36
Mumbai,15-Feb-15,36.43,58.88,7.5,19.16,25.99,11.86,0.71,7.36
Mumbai,16-Feb-15,36.43,58.88,7.5,19.16,25.47,11.86,0.71,7.36
Mumbai,17-Feb-15,36.43,58.88,7.5,19.16,26.31,11.86,0.71,7.36
Mumbai,18-Feb-15,36.43,58.88,7.5,19.16,25.14,11.86,0.71,7.36
Mumbai,19-Feb-15,36.43,58.88,7.5,19.16,25.22,11.86,0.71,7.36
Mumbai,20-Feb-15,36.43,58.88,7.5,19.16,25.44,11.86,0.71,7.36
Mumbai,21-Feb-15,36.43,58.88,7.5,19.16,26.82,11.86,0.71,7.36
Mumbai,22-Feb-15,36.43,58.88,7.5,19.16,27.54,11.86,0.71,7.36
Mumbai,23-Feb-15,36.43,58.88,7.5,19.16,29.02,11.86,0.71,7.36
Mumbai,24-Feb-15,36.43,58.88,7.5,19.16,26.68,11.86,0.71,7.36
Mumbai,25-Feb-15,36.43,58.88,7.5,19.16,26.41,11.86,0.71,7.36
Mumbai,26-Feb-15,36.43,58.88,7.5,19.16,26.85,11.86,0.71,7.36
Mumbai,27-Feb-15,36.43,58.88,7.5,19.16,26.84,11.86,0.71,7.36
Mumbai,28-Feb-15,36.43,58.88,7.5,19.16,25.4,11.86,0.71,7.36
Mumbai,01-Mar-15,36.43,58.88,7.5,19.16,24.76,11.86,0.71,7.36
Mumbai,02-Mar-15,36.43,58.88,7.5,19.16,27.32,11.86,0.71,7.36
Mumbai,03-Mar-15,36.43,58.88,7.5,19.16,27.16,11.86,0.71,7.36
Mumbai,04-Mar-15,36.43,58.88,7.5,19.16,27.37,11.86,0.71,7.36
Mumbai,05-Mar-15,36.43,58.88,7.5,19.16,28.75,11.86,0.71,7.36
Mumbai,06-Mar-15,36.43,58.88,7.5,19.16,30.51,11.86,0.71,7.36
Mumbai,07-Mar-15,36.43,58.88,7.5,19.16,27.12,11.86,0.71,7.36
Mumbai,08-Mar-15,36.43,58.88,7.5,19.16,27.07,11.86,0.71,7.36
Mumbai,09-Mar-15,36.43,58.88,7.5,19.16,44.83,11.86,0.71,7.36
Mumbai,28-Mar-15,36.43,58.88,7.5,19.16,50.92,11.86,0.71,7.36
Mumbai,09-Apr-15,36.43,58.88,7.5,19.16,53,11.86,0.71,7.36
Mumbai,11-Apr-15,36.43,58.88,7.5,19.16,41.87,11.86,0.71,7.36
Mumbai,15-Apr-15,36.43,58.88,7.5,19.16,14.12,11.86,0.71,7.36
Mumbai,16-Apr-15,36.43,58.88,7.5,19.16,25.34,11.86,0.71,7.36
Mumbai,17-Apr-15,36.43,58.88,7.5,19.16,25.7,11.86,0.71,7.36
Mumbai,18-Apr-15,36.43,58.88,7.5,19.16,25.61,11.86,0.71,7.36
Mumbai,19-Apr-15,36.43,58.88,7.5,19.16,25.61,11.86,0.71,7.36
Mumbai,20-Apr-15,36.43,58.88,7.5,19.16,30.29,11.86,0.71,7.36
Mumbai,21-Apr-15,36.43,58.88,7.5,19.16,28.14,11.86,0.71,7.36
Mumbai,22-Apr-15,36.43,58.88,7.5,19.16,28.16,11.86,0.71,7.36
Mumbai,23-Apr-15,36.43,58.88,7.5,19.16,28.19,11.86,0.71,7.36
Mumbai,24-Apr-15,36.43,58.88,7.5,19.16,28.13,11.86,0.71,7.36
Mumbai,25-Apr-15,36.43,58.88,7.5,19.16,28.24,11.86,0.71,7.36
Mumbai,26-Apr-15,36.43,58.88,7.5,19.16,44.42,11.86,0.71,7.36
Mumbai,28-Apr-15,36.43,58.88,7.5,19.16,28.93,11.86,0.71,7.36
Mumbai,29-Apr-15,36.43,58.88,7.5,19.16,28.81,11.86,0.71,7.36
Mumbai,30-Apr-15,36.43,58.88,7.5,19.16,28.97,11.86,0.71,7.36
Mumbai,01-May-15,36.43,58.88,7.5,19.16,29.45,11.86,0.71,7.36
Mumbai,02-May-15,36.43,58.88,7.5,19.16,31.07,11.86,0.71,7.36
Mumbai,03-May-15,36.43,58.88,7.5,19.16,33.46,11.86,0.71,7.36
Mumbai,04-May-15,36.43,58.88,7.5,19.16,31.89,11.86,0.71,7.36
Mumbai,05-May-15,36.43,58.88,7.5,19.16,27.97,11.86,0.71,7.36
Mumbai,06-May-15,36.43,58.88,7.5,19.16,28.01,11.86,0.71,7.36
Mumbai,07-May-15,36.43,58.88,7.5,19.16,46.54,11.86,0.71,7.36
Mumbai,08-May-15,36.43,58.88,7.5,19.16,27.7,11.86,0.71,7.36
Mumbai,09-May-15,36.43,58.88,7.5,19.16,27.83,11.86,0.71,7.36
Mumbai,10-May-15,36.43,58.88,7.5,19.16,27.91,11.86,0.71,7.36
Mumbai,11-May-15,36.43,58.88,7.5,19.16,27.9,11.86,0.71,7.36
Mumbai,12-May-15,36.43,58.88,7.5,19.16,27.98,11.86,0.71,7.36
Mumbai,13-May-15,36.43,58.88,7.5,19.16,25.47,11.86,0.71,7.36
Mumbai,14-May-15,36.43,58.88,7.5,19.16,23.08,11.86,0.71,7.36
Mumbai,15-May-15,36.43,58.88,7.5,19.16,23.12,11.86,0.71,7.36
Mumbai,16-May-15,36.43,58.88,7.5,19.16,23.14,11.86,0.71,7.36
Mumbai,17-May-15,36.43,58.88,7.5,19.16,23.28,11.86,0.71,7.36
Mumbai,18-May-15,36.43,58.88,7.5,19.16,23.2,11.86,0.71,7.36
Mumbai,19-May-15,36.43,58.88,7.5,19.16,23.14,11.86,0.71,7.36
Mumbai,20-May-15,36.43,58.88,7.5,19.16,23.11,11.86,0.71,7.36
Mumbai,21-May-15,36.43,58.88,7.5,19.16,23.22,11.86,0.71,7.36
Mumbai,22-May-15,36.43,58.88,7.5,19.16,23.37,11.86,0.71,7.36
Mumbai,23-May-15,36.43,58.88,7.5,19.16,23.46,11.86,0.71,7.36
Mumbai,24-May-15,36.43,58.88,7.5,19.16,23.55,11.86,0.71,7.36
Mumbai,25-May-15,36.43,58.88,7.5,19.16,23.41,11.86,0.71,7.36
Mumbai,26-May-15,36.43,58.88,7.5,19.16,23.46,11.86,0.71,7.36
Mumbai,27-May-15,36.43,58.88,7.5,19.16,23.5,11.86,0.71,7.36
Mumbai,28-May-15,36.43,58.88,7.5,19.16,23.57,11.86,0.71,7.36
Mumbai,29-May-15,36.43,58.88,7.5,19.16,23.5,11.86,0.71,7.36
Mumbai,30-May-15,36.43,58.88,7.5,19.16,23.51,11.86,0.71,7.36
Mumbai,31-May-15,36.43,58.88,7.5,19.16,23.78,11.86,0.71,7.36
Mumbai,01-Jun-15,36.43,58.88,7.5,19.16,23.69,11.86,0.71,7.36
Mumbai,02-Jun-15,36.43,58.88,7.5,19.16,41.01,11.86,0.71,7.36
Mumbai,04-Jun-15,36.43,58.88,7.5,19.16,23.38,11.86,0.71,7.36
Mumbai,05-Jun-15,36.43,58.88,7.5,19.16,30.52,11.86,0.71,7.36
Mumbai,06-Jun-15,36.43,58.88,7.5,19.16,23.05,11.86,0.71,7.36
Mumbai,07-Jun-15,36.43,58.88,7.5,19.16,23.35,11.86,0.71,7.36
Mumbai,08-Jun-15,36.43,58.88,7.5,19.16,22.96,11.86,0.71,7.36
Mumbai,09-Jun-15,36.43,58.88,7.5,19.16,23,11.86,0.71,7.36
Mumbai,10-Jun-15,36.43,58.88,7.5,19.16,23.06,11.86,0.71,7.36
Mumbai,11-Jun-15,36.43,58.88,7.5,19.16,23.02,11.86,0.71,7.36
Mumbai,12-Jun-15,36.43,58.88,7.5,19.16,22.96,11.86,0.71,7.36
Mumbai,13-Jun-15,36.43,58.88,7.5,19.16,23.01,11.86,0.71,7.36
Mumbai,14-Jun-15,36.43,58.88,7.5,19.16,23.04,11.86,0.71,7.36
Mumbai,15-Jun-15,36.43,58.88,7.5,19.16,23,11.86,0.71,7.36
Mumbai,16-Jun-15,36.43,58.88,7.5,19.16,23,11.86,0.71,7.36
Mumbai,17-Jun-15,36.43,58.88,7.5,19.16,24.84,11.86,0.71,7.36
Mumbai,18-Jun-15,36.43,58.88,7.5,19.16,23.16,11.86,0.71,7.36
Mumbai,19-Jun-15,36.43,58.88,7.5,19.16,23.24,11.86,0.71,7.36
Mumbai,20-Jun-15,36.43,58.88,7.5,19.16,16.77,11.86,0.71,7.36
Mumbai,21-Jun-15,36.43,58.88,7.5,19.16,18.88,11.86,0.71,7.36
Mumbai,22-Jun-15,36.43,58.88,7.5,19.16,18.87,11.86,0.71,7.36
Mumbai,23-Jun-15,36.43,58.88,7.5,19.16,18.87,11.86,0.71,7.36
Mumbai,24-Jun-15,36.43,58.88,7.5,19.16,18.85,11.86,0.71,7.36
Mumbai,25-Jun-15,36.43,58.88,7.5,19.16,18.95,11.86,0.71,7.36
Mumbai,26-Jun-15,36.43,58.88,7.5,19.16,18.98,11.86,0.71,7.36
Mumbai,27-Jun-15,36.43,58.88,7.5,19.16,18.97,11.86,0.71,7.36
Mumbai,28-Jun-15,36.43,58.88,7.5,19.16,19.04,11.86,0.71,7.36
Mumbai,29-Jun-15,36.43,58.88,7.5,19.16,19.02,11.86,0.71,7.36
Mumbai,30-Jun-15,36.43,58.88,7.5,19.16,19.04,11.86,0.71,7.36
Mumbai,01-Jul-15,36.43,58.88,7.5,19.16,19.03,11.86,0.71,7.36
Mumbai,02-Jul-15,36.43,58.88,7.5,19.16,19.02,11.86,0.71,7.36
Mumbai,03-Jul-15,36.43,58.88,7.5,19.16,19.05,11.86,0.71,7.36
Mumbai,04-Jul-15,36.43,58.88,7.5,19.16,19.11,11.86,0.71,7.36
Mumbai,05-Jul-15,36.43,58.88,7.5,19.16,19.25,11.86,0.71,7.36
Mumbai,06-Jul-15,36.43,58.88,7.5,19.16,19.22,11.86,0.71,7.36
Mumbai,07-Jul-15,36.43,58.88,7.5,19.16,19.25,11.86,0.71,7.36
Mumbai,08-Jul-15,36.43,58.88,7.5,19.16,19.24,11.86,0.71,7.36
Mumbai,09-Jul-15,36.43,58.88,7.5,19.16,19.24,11.86,0.71,7.36
Mumbai,10-Jul-15,36.43,58.88,7.5,19.16,19.27,11.86,0.71,7.36
Mumbai,11-Jul-15,36.43,58.88,7.5,19.16,19.28,11.86,0.71,7.36
Mumbai,12-Jul-15,36.43,58.88,7.5,19.16,19.39,11.86,0.71,7.36
Mumbai,13-Jul-15,36.43,58.88,7.5,19.16,19.31,11.86,0.71,7.36
Mumbai,14-Jul-15,36.43,58.88,7.5,19.16,19.26,11.86,0.71,7.36
Mumbai,15-Jul-15,36.43,58.88,7.5,19.16,19.3,11.86,0.71,7.36
Mumbai,16-Jul-15,36.43,58.88,7.5,19.16,19.41,11.86,0.71,7.36
Mumbai,17-Jul-15,36.43,58.88,7.5,19.16,19.37,11.86,0.71,7.36
Mumbai,18-Jul-15,36.43,58.88,7.5,19.16,19.4,11.86,0.71,7.36
Mumbai,19-Jul-15,36.43,58.88,7.5,19.16,19.65,11.86,0.71,7.36
Mumbai,20-Jul-15,36.43,58.88,7.5,19.16,20.18,11.86,0.71,7.36
Mumbai,21-Jul-15,36.43,58.88,7.5,19.16,22.46,11.86,0.71,7.36
Mumbai,22-Jul-15,36.43,58.88,7.5,19.16,27.67,11.86,0.71,7.36
Mumbai,23-Jul-15,36.43,58.88,7.5,19.16,19.86,11.86,0.71,7.36
Mumbai,24-Jul-15,36.43,58.88,7.5,19.16,19.92,11.86,0.71,7.36
Mumbai,25-Jul-15,36.43,58.88,7.5,19.16,19.9,11.86,0.71,7.36
Mumbai,26-Jul-15,36.43,58.88,7.5,19.16,19.83,11.86,0.71,7.36
Mumbai,27-Jul-15,36.43,58.88,7.5,19.16,19.68,11.86,0.71,7.36
Mumbai,28-Jul-15,36.43,58.88,7.5,19.16,19.71,11.86,0.71,7.36
Mumbai,29-Jul-15,36.43,58.88,7.5,19.16,19.96,11.86,0.71,7.36
Mumbai,30-Jul-15,36.43,58.88,7.5,19.16,29.59,11.86,0.71,7.36
Mumbai,31-Jul-15,36.43,58.88,7.5,19.16,27.91,11.86,0.71,7.36
Mumbai,01-Aug-15,36.43,58.88,7.5,19.16,19.74,11.86,0.71,7.36
Mumbai,02-Aug-15,36.43,58.88,7.5,19.16,19.88,11.86,0.71,7.36
Mumbai,03-Aug-15,36.43,58.88,7.5,19.16,20.15,11.86,0.71,7.36
Mumbai,04-Aug-15,36.43,58.88,7.5,19.16,19.92,11.86,0.71,7.36
Mumbai,05-Aug-15,36.43,58.88,7.5,19.16,19.96,11.86,0.71,7.36
Mumbai,06-Aug-15,36.43,58.88,7.5,19.16,25.4,11.86,0.71,7.36
Mumbai,07-Aug-15,36.43,58.88,7.5,19.16,19.19,11.86,0.71,7.36
Mumbai,08-Aug-15,36.43,58.88,7.5,19.16,19.09,11.86,0.71,7.36
Mumbai,09-Aug-15,36.43,58.88,7.5,19.16,19.1,11.86,0.71,7.36
Mumbai,10-Aug-15,36.43,58.88,7.5,19.16,21.29,11.86,0.71,7.36
Mumbai,11-Aug-15,36.43,58.88,7.5,19.16,17.96,11.86,0.71,7.36
Mumbai,12-Aug-15,36.43,58.88,7.5,19.16,20.1,11.86,0.71,7.36
Mumbai,13-Aug-15,36.43,58.88,7.5,19.16,30.94,11.86,0.71,7.36
Mumbai,14-Aug-15,36.43,58.88,7.5,19.16,48.78,11.86,0.71,7.36
Mumbai,19-Aug-15,36.43,58.88,7.5,19.16,48.61,11.86,0.71,7.36
Mumbai,20-Aug-15,36.43,58.88,7.5,19.16,31.35,11.86,0.71,7.36
Mumbai,21-Aug-15,36.43,58.88,7.5,19.16,30.96,11.86,0.71,7.36
Mumbai,22-Aug-15,36.43,58.88,7.5,19.16,35.06,11.86,0.71,7.36
Mumbai,23-Aug-15,36.43,58.88,7.5,19.16,35.9,11.86,0.71,7.36
Mumbai,24-Aug-15,36.43,58.88,7.5,19.16,34.06,11.86,0.71,7.36
Mumbai,26-Aug-15,36.43,58.88,7.5,19.16,26.95,11.86,0.71,7.36
Mumbai,27-Aug-15,36.43,58.88,7.5,19.16,14.48,11.86,0.71,7.36
Mumbai,01-Sep-15,36.43,58.88,7.5,19.16,38.72,11.86,0.71,7.36
Mumbai,02-Sep-15,36.43,58.88,7.5,19.16,45.2,11.86,0.71,7.36
Mumbai,03-Sep-15,36.43,58.88,7.5,19.16,52.07,11.86,0.71,7.36
Mumbai,05-Sep-15,36.43,58.88,7.5,19.16,51.49,11.86,0.71,7.36
Mumbai,06-Sep-15,36.43,58.88,7.5,19.16,40.51,11.86,0.71,7.36
Mumbai,07-Sep-15,36.43,58.88,7.5,19.16,33.59,11.86,0.71,7.36
Mumbai,08-Sep-15,36.43,58.88,7.5,19.16,52.77,11.86,0.71,7.36
Mumbai,09-Sep-15,36.43,58.88,7.5,19.16,45.86,11.86,0.71,7.36
Mumbai,12-Sep-15,36.43,58.88,7.5,19.16,53.31,11.86,0.71,7.36
Mumbai,13-Sep-15,36.43,58.88,7.5,19.16,49.33,11.86,0.71,7.36
Mumbai,14-Sep-15,36.43,58.88,7.5,19.16,37.42,11.86,0.71,7.36
Mumbai,15-Sep-15,36.43,58.88,7.5,19.16,26.27,11.86,0.71,7.36
Mumbai,16-Sep-15,36.43,58.88,7.5,19.16,38.43,11.86,0.71,7.36
Mumbai,17-Sep-15,36.43,58.88,7.5,19.16,10.81,11.86,0.71,7.36
Mumbai,18-Sep-15,36.43,58.88,7.5,19.16,10.83,11.86,0.71,7.36
Mumbai,19-Sep-15,36.43,58.88,7.5,19.16,11.46,11.86,0.71,7.36
Mumbai,20-Sep-15,36.43,58.88,7.5,19.16,30.68,11.86,0.71,7.36
Mumbai,21-Sep-15,36.43,58.88,7.5,19.16,18.24,11.86,0.71,7.36
Mumbai,22-Sep-15,36.43,58.88,7.5,19.16,27.42,11.86,0.71,7.36
Mumbai,23-Sep-15,36.43,58.88,7.5,19.16,37.69,11.86,0.71,7.36
Mumbai,24-Sep-15,36.43,58.88,7.5,19.16,36.61,11.86,0.71,7.36
Mumbai,03-Oct-15,36.43,58.88,7.5,19.16,42.06,11.86,0.71,7.36
Mumbai,09-Oct-15,36.43,58.88,7.5,19.16,36.82,11.86,0.71,7.36
Mumbai,10-Oct-15,36.43,58.88,7.5,19.16,32.81,11.86,0.71,7.36
Mumbai,11-Oct-15,36.43,58.88,7.5,19.16,44.91,11.86,0.71,7.36
Mumbai,12-Oct-15,36.43,58.88,7.5,19.16,46.38,11.86,0.71,7.36
Mumbai,01-Jan-16,36.43,58.88,7.5,19.16,49.73,11.86,0.71,7.36
Mumbai,02-Jan-16,36.43,58.88,7.5,19.16,51.09,11.86,0.71,7.36
Mumbai,03-Jan-16,36.43,58.88,7.5,19.16,48,11.86,0.71,7.36
Mumbai,04-Jan-16,36.43,58.88,7.5,19.16,52.01,11.86,0.71,7.36
Mumbai,05-Jan-16,36.43,58.88,7.5,19.16,47.24,11.86,0.71,7.36
Mumbai,06-Jan-16,36.43,58.88,7.5,19.16,13.3,11.86,0.71,7.36
Mumbai,07-Jan-16,36.43,58.88,7.5,19.16,15.45,11.86,0.71,7.36
Mumbai,08-Jan-16,36.43,58.88,7.5,19.16,5.69,11.86,0.71,7.36
Mumbai,09-Jan-16,36.43,58.88,7.5,19.16,7.51,11.86,0.71,7.36
Mumbai,10-Jan-16,36.43,58.88,7.5,19.16,13.7,11.86,0.71,7.36
Mumbai,11-Jan-16,36.43,58.88,7.5,19.16,14.47,11.86,0.71,7.36
Mumbai,12-Jan-16,36.43,58.88,7.5,19.16,7.47,11.86,0.71,7.36
Mumbai,13-Jan-16,36.43,58.88,7.5,19.16,13.41,11.86,0.71,7.36
Mumbai,14-Jan-16,36.43,58.88,7.5,19.16,12.04,11.86,0.71,7.36
Mumbai,15-Jan-16,36.43,58.88,7.5,19.16,14.12,11.86,0.71,7.36
Mumbai,16-Jan-16,36.43,58.88,7.5,19.16,14.6,11.86,0.71,7.36
Mumbai,17-Jan-16,36.43,58.88,7.5,19.16,22.37,11.86,0.71,7.36
Mumbai,18-Jan-16,36.43,58.88,7.5,19.16,22.52,11.86,0.71,7.36
Mumbai,19-Jan-16,36.43,58.88,7.5,19.16,32.62,11.86,0.71,7.36
Mumbai,20-Jan-16,36.43,58.88,7.5,19.16,34.04,11.86,0.71,7.36
Mumbai,21-Jan-16,36.43,58.88,7.5,19.16,34.13,11.86,0.71,7.36
Mumbai,22-Jan-16,36.43,58.88,7.5,19.16,41.03,11.86,0.71,7.36
Mumbai,23-Jan-16,36.43,58.88,7.5,19.16,39.93,11.86,0.71,7.36
Mumbai,24-Jan-16,36.43,58.88,7.5,19.16,39.61,11.86,0.71,7.36
Mumbai,25-Jan-16,36.43,58.88,7.5,19.16,40.69,11.86,0.71,7.36
Mumbai,26-Jan-16,36.43,58.88,7.5,19.16,33.8,11.86,0.71,7.36
Mumbai,27-Jan-16,36.43,58.88,7.5,19.16,14.16,11.86,0.71,7.36
Mumbai,28-Jan-16,36.43,58.88,7.5,19.16,33.94,11.86,0.71,7.36
Mumbai,29-Jan-16,36.43,58.88,7.5,19.16,21.15,11.86,0.71,7.36
Mumbai,30-Jan-16,36.43,58.88,7.5,19.16,18.87,11.86,0.71,7.36
Mumbai,31-Jan-16,36.43,58.88,7.5,19.16,22.54,11.86,0.71,7.36
Mumbai,01-Feb-16,36.43,58.88,7.5,19.16,22.87,11.86,0.71,7.36
Mumbai,02-Feb-16,36.43,58.88,7.5,19.16,31.27,11.86,0.71,7.36
Mumbai,03-Feb-16,36.43,58.88,7.5,19.16,31.54,11.86,0.71,7.36
Mumbai,04-Feb-16,36.43,58.88,7.5,19.16,32.04,11.86,0.71,7.36
Mumbai,05-Feb-16,36.43,58.88,7.5,19.16,28.27,11.86,0.71,7.36
Mumbai,06-Feb-16,36.43,58.88,7.5,19.16,18.42,11.86,0.71,7.36
Mumbai,07-Feb-16,36.43,58.88,7.5,19.16,20.36,11.86,0.71,7.36
Mumbai,08-Feb-16,36.43,58.88,7.5,19.16,20.57,11.86,0.71,7.36
Mumbai,09-Feb-16,36.43,58.88,7.5,19.16,15.28,11.86,0.71,7.36
Mumbai,10-Feb-16,36.43,58.88,7.5,19.16,15,11.86,0.71,7.36
Mumbai,11-Feb-16,36.43,58.88,7.5,19.16,11.11,11.86,0.71,7.36
Mumbai,12-Feb-16,36.43,58.88,7.5,19.16,13.46,11.86,0.71,7.36
Mumbai,13-Feb-16,36.43,58.88,7.5,19.16,20.67,11.86,0.71,7.36
Mumbai,14-Feb-16,36.43,58.88,7.5,19.16,23.56,11.86,0.71,7.36
Mumbai,15-Feb-16,36.43,58.88,7.5,19.16,39.24,11.86,0.71,7.36
Mumbai,16-Feb-16,36.43,58.88,7.5,19.16,29.37,11.86,0.71,7.36
Mumbai,17-Feb-16,36.43,58.88,7.5,19.16,11.48,11.86,0.71,7.36
Mumbai,18-Feb-16,36.43,58.88,7.5,19.16,18.51,11.86,0.71,7.36
Mumbai,19-Feb-16,36.43,58.88,7.5,19.16,14.2,11.86,0.71,7.36
Mumbai,20-Feb-16,36.43,58.88,7.5,19.16,15.41,11.86,0.71,7.36
Mumbai,21-Feb-16,36.43,58.88,7.5,19.16,25.85,11.86,0.71,7.36
Mumbai,22-Feb-16,36.43,58.88,7.5,19.16,31.42,11.86,0.71,7.36
Mumbai,23-Feb-16,36.43,58.88,7.5,19.16,30.57,11.86,0.71,7.36
Mumbai,24-Feb-16,36.43,58.88,7.5,19.16,15.54,11.86,0.71,7.36
Mumbai,25-Feb-16,36.43,58.88,7.5,19.16,19.35,11.86,0.71,7.36
Mumbai,26-Feb-16,36.43,58.88,7.5,19.16,19.29,11.86,0.71,7.36
Mumbai,27-Feb-16,36.43,58.88,7.5,19.16,17.54,11.86,0.71,7.36
Mumbai,28-Feb-16,36.43,58.88,7.5,19.16,15.92,11.86,0.71,7.36
Mumbai,29-Feb-16,36.43,58.88,7.5,19.16,16.44,11.86,0.71,7.36
Mumbai,01-Mar-16,36.43,58.88,7.5,19.16,24.44,11.86,0.71,7.36
Mumbai,02-Mar-16,36.43,58.88,7.5,19.16,15.33,11.86,0.71,7.36
Mumbai,03-Mar-16,36.43,58.88,7.5,19.16,22.76,11.86,0.71,7.36
Mumbai,04-Mar-16,36.43,58.88,7.5,19.16,19.32,11.86,0.71,7.36
Mumbai,05-Mar-16,36.43,58.88,7.5,19.16,16.51,11.86,0.71,7.36
Mumbai,06-Mar-16,36.43,58.88,7.5,19.16,13.36,11.86,0.71,7.36
Mumbai,07-Mar-16,36.43,58.88,7.5,19.16,18.01,11.86,0.71,7.36
Mumbai,08-Mar-16,36.43,58.88,7.5,19.16,27.11,11.86,0.71,7.36
Mumbai,09-Mar-16,36.43,58.88,7.5,19.16,24.04,11.86,0.71,7.36
Mumbai,10-Mar-16,36.43,58.88,7.5,19.16,29.35,11.86,0.71,7.36
Mumbai,11-Mar-16,36.43,58.88,7.5,19.16,25.65,11.86,0.71,7.36
Mumbai,12-Mar-16,36.43,58.88,7.5,19.16,23.02,11.86,0.71,7.36
Mumbai,13-Mar-16,36.43,58.88,7.5,19.16,13.9,11.86,0.71,7.36
Mumbai,14-Mar-16,36.43,58.88,7.5,19.16,12.24,11.86,0.71,7.36
Mumbai,15-Mar-16,36.43,58.88,7.5,19.16,12.26,11.86,0.71,7.36
Mumbai,16-Mar-16,36.43,58.88,7.5,19.16,12.77,11.86,0.71,7.36
Mumbai,17-Mar-16,36.43,58.88,7.5,19.16,9.7,11.86,0.71,7.36
Mumbai,18-Mar-16,36.43,58.88,7.5,19.16,10.55,11.86,0.71,7.36
Mumbai,19-Mar-16,36.43,58.88,7.5,19.16,11.05,11.86,0.71,7.36
